Site,Yparm,method,rows,created,ownername,edited,transfer
CHENEY  ,ACE    ,ACECOEF ,75,18-Oct-31,HYDROMET ,18OCT31 1439,....... ....
CHENEY  ,AF     ,LINEAR  ,166,90OCT22,RMICHEL  ,12APR09 1434,....... ....
CHENEY  ,AR     ,LINEAR  ,43,12-Apr-09,LDEAVILA ,12APR17 1049,....... ....
CHPDIVCO,Q      ,GSLOGLOG,19,91JUN03,VLEE     ,13JUN24 1259,....... ....
CHPDIVCO,QC     ,LINEAR  ,23,91JUN03,VLEE     ,15JAN09 1017,....... ....
CLAFORCO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,09JAN14 1407,....... ....
CLAFORCO,Q      ,GSLOG2  ,121,95JUL11,CLORA    ,20AUG15 0510,....... ....
CLAFTCCO,Q      ,LINEAR  ,70,91JAN30,CLORA    ,01MAY11 1118,....... ....
CLCK    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1354,....... ....
CLCK    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18AUG01 0951,....... ....
CLCK    ,Q      ,GSLOG2  ,99,88AUG18,NPHELPS  ,20AUG13 0510,....... ....
CLMT    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1404,....... ....
CLMT    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18OCT19 0721,....... ....
CLMT    ,Q      ,GSLOG2  ,188,88AUG22,NPHELPS  ,19OCT03 0510,....... ....
CMBM    ,HJ     ,GSSHIFT2,2,92JUL21,NPHELPS  ,11FEB28 1507,....... ....
CMBM    ,QC     ,GSLOGLOG,3,88APR14,NPHELPS  ,12FEB17 1029,....... ....
CMO     ,AF     ,LINEAR  ,67,94AUG10,NPHELPS  ,94AUG10 1025,....... ....
COBB    ,ACE    ,ACECOEF ,17,94JUL20,DKNUTESON,17FEB27 1452,....... ....
COBC    ,HH     ,GSSHIFT2,3,15-Dec-28,HYDROMET ,16AUG03 0916,....... ....
COBC    ,Q      ,GSLOG2  ,179,91OCT21,DKNUTESON,20AUG07 0510,....... ....
COLCAMCO,HH     ,GSSHIFT2,0,1-Mar-29,CLORA    ,09JAN14 1350,....... ....
COLCAMCO,Q      ,GSLOG2  ,116,95JUL11,CLORA    ,20SEP16 0510,....... ....
COLCHICO,Q      ,LINEAR  ,49,96FEB29,CLORA    ,01MAY29 1153,....... ....
COLDITCO,HH     ,GSSHIFT2,5,1-Mar-29,MHENNEBER,06MAY19 0708,....... ....
COLDITCO,Q      ,GSLOG2  ,21,95JUL11,MHENNEBER,06MAY19 0706,....... ....
